Task,T2045,,,,,
0.5935,75,29.7,21.5,0.0085,,
0.602,76,30.4,21.5,0.0075,,
0.61,77,31.4,21.5,0.0075,,
0.6185,78,32.2,21.5,0.0075,,
0.627,79,33.1,21.5,0.0085,,
0.6345,80,33.8,21.5,0.0075,,
0.643,81,34.8,21.5,0.0085,,
0.6515,82,35.9,21.5,0.0075,,
0.66,83,36.7,21.5,0.0075,,
0.668,84,37.5,21.5,0.0075,,
0.6765,85,38.5,21.5,0.0075,,
0.684,86,39.3,21.5,0.0075,,
0.6925,87,40.2,21.5,0.0085,,
0.701,88,40.9,21.5,0.0075,,
0.7095,89,41.8,21.5,0.0075,,
0.718,90,42.7,21.5,0.0075,,
0.7265,91,43.5,21.5,0.0075,,
0.734,92,44.4,21.5,0.0075,,
0.7425,93,45.2,21.5,0.0085,,
0.7505,94,46.3,21.5,0.0075,,
0.759,95,47.3,21.5,0.0075,,
0.7675,96,48.2,21.5,0.0075,,
0.776,97,49,21.5,0.0085,,
0.7835,98,49.8,21.5,0.0075,,
0.792,99,51,21.5,0.0085,,
0.8005,100,51.8,21.5,0.0075,,
0.809,101,52.7,21.5,0.0075,,
0.817,102,53.8,21.5,0.0075,,
0.8255,103,54.5,21.5,0.0085,,
0.833,104,55.4,21.5,0.0075,,
0.8415,105,56.4,21.5,0.0085,,
0.85,106,57.3,21.5,0.0075,,
0.8585,107,58.4,21.5,0.0075,,
0.867,108,59.3,21.5,0.0075,,
0.875,109,60.2,21.5,0.0075,,
0.883,110,61.1,21.5,0.008,,
0.891,111,61.9,21.5,0.008,,
0.8995,112,63,21.5,0.0075,,
0.908,113,64.1,21.5,0.0075,,
0.9165,114,64.9,21.5,0.0075,,
0.925,115,65.9,21.5,0.0075,,
0.9325,116,66.6,21.5,0.0075,,
0.941,117,67.6,21.5,0.0085,,
0.949,118,68.7,21.5,0.0075,,
0.9575,119,69.6,21.5,0.0075,,
0.966,120,70.6,21.5,0.0075,,
0.9745,121,71.7,21.5,0.0075,,
0.982,122,72.7,21.5,0.0075,,
0.9905,123,73.6,21.5,0.0085,,
0.999,124,74.5,21.5,0.0075,,
1.007,125,75.7,21.5,0.0075,,
1.0155,126,76.8,21.5,0.0075,,
1.024,127,77.7,21.5,0.0075,,
1.0315,128,78.7,21.5,0.0075,,
1.04,129,79.7,21.5,0.0085,,
1.0485,130,80.9,21.5,0.0075,,
1.057,131,82,21.5,0.0075,,
1.0655,132,82.9,21.5,0.0075,,
1.0735,133,84.2,21.5,0.0075,,
1.081,134,85.2,21.5,0.0075,,
1.0895,135,86.5,21.5,0.0085,,
1.098,136,87.6,21.5,0.0085,,
1.1065,137,88.6,21.5,0.0075,,
1.115,138,90,21.5,0.0075,,
1.1235,139,91.2,21.5,0.0075,,
1.131,140,92.3,21.5,0.0075,,
1.1395,141,93.6,21.5,0.0085,,
1.1475,142,94.9,21.5,0.0075,,
1.156,143,96.5,21.5,0.0075,,
1.1645,144,97.9,21.5,0.0075,,
1.173,145,99.3,21.5,0.0075,,
1.1805,146,100.8,21.5,0.0075,,
1.189,147,102.2,21.5,0.0085,,
1.1975,148,104,21.5,0.0075,,
1.206,149,105.5,21.5,0.0075,,
1.214,150,107.2,21.5,0.0075,,
1.2225,151,109.1,21.5,0.0075,,
1.23,152,110.9,21.5,0.0075,,
1.2385,153,113,21.5,0.0085,,
1.247,154,115,21.5,0.0075,,
1.2555,155,117.2,21.5,0.0075,,
1.264,156,119.8,21.5,0.0075,,
1.2725,157,122.4,21.5,0.0075,,
1.28,158,124.5,21.5,0.0075,,
1.288,159,127.4,21.5,0.008,,
1.2965,160,130.3,21.5,0.0075,,
1.305,161,133.9,21.5,0.0075,,
1.3135,162,137.4,21.5,0.0075,,
1.322,163,141,21.5,0.0075,,
1.3295,164,144.4,21.5,0.0075,,
1.338,165,148.5,21.5,0.0085,,
1.3465,166,152.5,21.5,0.0075,,
1.3545,167,156.6,21.5,0.0075,,
1.363,168,160.3,21.5,0.0075,,
1.3715,169,164.2,21.5,0.0075,,
1.379,170,167.3,21.5,0.0075,,
1.3875,171,170.8,21.5,0.0085,,
1.396,172,173.7,21.5,0.0085,,
1.4045,173,176.6,21.5,0.0075,,
1.4125,174,179.4,21.5,0.0075,,
1.421,175,181.8,21.5,0.0075,,
1.4285,176,183.8,21.5,0.0075,,
1.4355,177,185,21.5,0.0085,,
1.4355,417,189.3,21.5,0,,
1.436,418,189.5,21.5,0.0005,,
1.4375,419,189.3,21.5,0.0015,,
1.44,420,189.5,21.5,0.003,,
1.444,421,189.9,21.5,0.004,,
1.45,422,190.5,21.5,0.006,,
1.4585,423,191.5,21.5,0.0085,,
1.466,424,192.6,21.5,0.0085,,
1.4745,425,194.3,21.5,0.0095,,
1.483,426,195.9,21.5,0.0095,,
1.4915,427,197.1,21.5,0.0085,,
1.4995,428,198.2,21.5,0.008,,
1.508,429,199.6,21.5,0.0085,,
1.5155,430,200.7,21.5,0.0085,,
1.524,431,201.9,21.5,0.0095,,
1.5325,432,202.8,21.5,0.0095,,
1.541,433,203.9,21.5,0.0085,,
1.5495,434,205,21.5,0.0085,,
1.5575,435,205.8,21.5,0.008,,
1.5655,436,206.7,21.5,0.009,,
1.5735,437,207.5,21.5,0.009,,
1.582,438,208.6,21.5,0.0095,,
1.5905,439,209.6,21.5,0.0085,,
1.599,440,210.3,21.5,0.0085,,
1.6075,441,211,21.5,0.0085,,
1.615,442,211.7,21.5,0.0085,,
1.6235,443,212.4,21.5,0.0095,,
1.6315,444,213.2,21.5,0.009,,
1.64,445,213.8,21.5,0.0085,,
1.6485,446,214.6,21.5,0.0085,,
1.657,447,215.3,21.5,0.0085,,
1.6645,448,215.9,21.5,0.0085,,
1.673,449,216.6,21.5,0.0095,,
1.6815,450,217,21.5,0.0095,,
1.69,451,217.7,21.5,0.0085,,
1.698,452,218.3,21.5,0.008,,
1.7065,453,218.8,21.5,0.0085,,
1.714,454,219.4,21.5,0.0085,,
1.7225,455,220,21.5,0.0095,,
1.731,456,220.6,21.5,0.0095,,
1.7395,457,221.2,21.5,0.0085,,
1.7475,458,221.8,21.5,0.008,,
1.756,459,222.1,21.5,0.0085,,
1.7645,460,222.5,21.5,0.0095,,
1.772,461,223.1,21.5,0.0085,,
1.7805,462,223.7,21.5,0.0095,,
1.789,463,224.1,21.5,0.0085,,
1.7975,464,224.5,21.5,0.0085,,
1.8055,465,225.1,21.5,0.008,,
1.814,466,225.4,21.5,0.0095,,
1.8215,467,225.9,21.5,0.0085,,
1.83,468,226.1,21.5,0.0095,,
1.8385,469,226.7,21.5,0.0085,,
1.847,470,227.1,21.5,0.0085,,
1.8555,471,227.5,21.5,0.0085,,
1.864,472,227.7,21.5,0.0085,,
1.8715,473,228.1,21.5,0.0085,,
1.8795,474,228.7,21.5,0.009,,
1.888,475,229.2,21.5,0.0095,,
1.8965,476,229.6,21.5,0.0085,,
1.905,477,229.8,21.5,0.0085,,
1.9135,478,230.3,21.5,0.0085,,
1.921,479,230.5,21.5,0.0085,,
1.9295,480,231,21.5,0.0095,,
1.9375,481,231.4,21.5,0.009,,
1.946,482,231.6,21.5,0.0085,,
1.9545,483,232,21.5,0.0085,,
1.963,484,232.4,21.5,0.0085,,
1.9715,485,232.6,21.5,0.0085,,
1.979,486,232.9,21.5,0.0085,,
1.9875,487,233.1,21.5,0.0095,,
1.9955,488,233.5,21.5,0.009,,
2.003,489,233.9,21.5,0.0075,,
2.009,490,234,21.5,0.006,,
2.01,491,234.2,21.5,0.001,,
2.0105,492,234.3,21.5,0.0005,,
2.0115,493,234.4,21.5,0.001,,
2.0125,494,234.6,21.5,0.001,,
2.013,495,234.5,21.5,0.0005,,
2.0145,496,234.5,21.5,0.0015,,
2.015,497,234.6,21.5,0.0005,,
2.0165,498,234.8,21.5,0.0015,,
2.0185,499,234.8,21.5,0.002,,
2.0215,500,234.7,21.5,0.0035,,
2.0245,501,235.1,21.5,0.0035,,
Scope 1/1, Sample 2/32 (JUNK2),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-63.7,21.3,NaN,,
0.001,1,-63.8,21.3,0.001,,
0.0025,2,-63.6,21.3,0.0015,,
0.005,3,-63.7,21.3,0.0025,,
0.0085,4,-63.6,21.3,0.003,,
0.015,5,-63.5,21.3,0.006,,
0.023,6,-63.2,21.3,0.0075,,
0.0315,7,-62.5,21.3,0.0075,,
0.04,8,-61.7,21.3,0.0075,,
0.0485,9,-61,21.3,0.0085,,
0.056,10,-60.1,21.3,0.007,,
0.0645,11,-59,21.3,0.0075,,
0.0725,12,-57.7,21.3,0.0075,,
0.081,13,-56.6,21.3,0.0075,,
0.0895,14,-55.4,21.3,0.0075,,
0.097,15,-54.2,21.3,0.007,,
0.1055,16,-52.7,21.3,0.0075,,
0.114,17,-51.1,21.3,0.0075,,
0.1225,18,-49.7,21.3,0.0075,,
0.131,19,-48,21.3,0.0075,,
0.139,20,-46.1,21.3,0.0075,,
0.147,21,-44.4,21.3,0.0075,,
0.155,22,-42.4,21.3,0.0075,,
0.1635,23,-40.4,21.3,0.0075,,
0.172,24,-38.1,21.3,0.0075,,
0.1805,25,-35.8,21.3,0.0075,,
0.189,26,-33.5,21.3,0.0075,,
0.1965,27,-31.3,21.3,0.007,,
0.205,28,-28.7,21.3,0.0075,,
0.2135,29,-25.8,21.3,0.0075,,
0.2215,30,-22.9,21.3,0.0075,,
0.23,31,-20.1,21.3,0.0075,,
0.2385,32,-17.2,21.3,0.0075,,
0.246,33,-14.9,21.3,0.007,,
0.2545,34,-12.2,21.3,0.0075,,
0.263,35,-9.9,21.3,0.0075,,
0.2715,36,-7.9,21.3,0.0075,,
0.2795,37,-5.8,21.3,0.0075,,
0.288,38,-3.9,21.3,0.0075,,
0.2955,39,-2.4,21.3,0.007,,
0.304,40,-0.9,21.3,0.0075,,
0.3125,41,0.5,21.3,0.0075,,
0.321,42,2,21.3,0.0075,,
0.3295,43,3.4,21.3,0.0075,,
0.3375,44,4.6,21.3,0.0075,,
0.3455,45,5.8,21.3,0.0075,,
0.3535,46,7,21.3,0.0075,,
0.362,47,8.3,21.3,0.0075,,
0.3705,48,9.5,21.3,0.0075,,
0.379,49,10.5,21.3,0.0075,,
0.3875,50,11.7,21.3,0.0075,,
0.395,51,12.6,21.3,0.007,,
0.4035,52,13.8,21.3,0.0075,,
0.412,53,14.8,21.3,0.0075,,
0.42,54,15.7,21.3,0.0075,,
0.4285,55,16.8,21.3,0.007,,
0.437,56,17.8,21.3,0.0075,,
0.4445,57,18.7,21.3,0.007,,
0.453,58,19.6,21.3,0.0075,,
0.4615,59,20.4,21.3,0.0075,,
0.47,60,21.5,21.3,0.0075,,
0.478,61,22.4,21.3,0.0075,,
0.4865,62,23.2,21.3,0.0075,,
0.494,63,24,21.3,0.007,,
0.5025,64,24.9,21.3,0.0075,,
0.511,65,26,21.3,0.0075,,
0.5195,66,26.8,21.3,0.0075,,
0.528,67,27.5,21.3,0.0075,,
0.5365,68,28.5,21.3,0.0075,,
0.5445,69,29.1,21.3,0.008,,
0.552,70,30.1,21.3,0.007,,
0.5605,71,30.9,21.3,0.0075,,
0.569,72,31.8,21.3,0.0075,,
0.5775,73,32.9,21.3,0.0075,,
0.586,74,33.8,21.3,0.0075,,
0.5935,75,34.5,21.3,0.007,,
0.602,76,35.3,21.3,0.0075,,
0.6105,77,36.2,21.3,0.0075,,
0.6185,78,37.1,21.3,0.0075,,
0.627,79,38,21.3,0.0075,,
0.6355,80,38.8,21.3,0.0075,,
0.643,81,39.6,21.3,0.007,,
0.6515,82,40.6,21.3,0.0075,,
0.66,83,41.6,21.3,0.0075,,
0.6685,84,42.3,21.3,0.0075,,
0.677,85,43.3,21.3,0.0075,,
0.685,86,44.3,21.3,0.0075,,
0.6935,87,44.8,21.3,0.0075,,
0.701,88,45.9,21.3,0.007,,
0.7095,89,46.7,21.3,0.0075,,
0.718,90,47.7,21.3,0.0075,,
0.7265,91,48.6,21.3,0.0075,,
0.735,92,49.5,21.3,0.0075,,
0.7425,93,50.3,21.3,0.007,,
0.751,94,51,21.3,0.0075,,
0.759,95,52.1,21.3,0.0075,,
0.7675,96,53,21.3,0.0075,,
0.776,97,53.8,21.3,0.0075,,
0.7845,98,54.7,21.3,0.0075,,
0.792,99,55.4,21.3,0.007,,
0.8005,100,56.5,21.3,0.0075,,
0.809,101,57.5,21.3,0.0075,,
0.8175,102,58.3,21.3,0.0075,,
0.8255,103,59.1,21.3,0.0075,,
0.834,104,60.1,21.3,0.0075,,
0.8425,105,60.9,21.3,0.0075,,
0.85,106,61.9,21.3,0.007,,
0.8585,107,62.7,21.3,0.0075,,
0.867,108,63.6,21.3,0.0075,,
0.8755,109,64.7,21.3,0.0075,,
0.8835,110,65.5,21.3,0.0075,,
0.8915,111,66.4,21.3,0.0075,,
0.8995,112,67.2,21.3,0.0075,,
0.908,113,68.2,21.3,0.0075,,
0.9165,114,69.3,21.3,0.0075,,
0.925,115,70.1,21.3,0.0075,,
0.9335,116,71,21.3,0.0075,,
0.942,117,71.8,21.3,0.0075,,
0.9495,118,73,21.3,0.007,,
0.9575,119,74.1,21.3,0.0075,,
0.966,120,74.9,21.3,0.0075,,
0.9745,121,75.9,21.3,0.0075,,
0.983,122,77,21.3,0.0075,,
0.9915,123,77.8,21.3,0.0085,,
0.999,124,78.9,21.3,0.007,,
1.0075,125,79.8,21.3,0.0075,,
1.016,126,80.9,21.3,0.0075,,
1.024,127,82.1,21.3,0.0075,,
1.0325,128,83,21.3,0.0075,,
1.041,129,84,21.3,0.0085,,
1.0485,130,85,21.3,0.007,,
1.057,131,86.1,21.3,0.0075,,
1.0655,132,87.2,21.3,0.0075,,
1.074,133,88.2,21.3,0.0075,,
1.0825,134,89.6,21.3,0.0075,,
1.09,135,90.5,21.3,0.007,,
1.0985,136,91.9,21.3,0.0075,,
1.1065,137,93.1,21.3,0.0075,,
1.115,138,94.5,21.3,0.0075,,
1.1235,139,95.8,21.3,0.0075,,
1.132,140,97.1,21.3,0.0075,,
1.1395,141,98.4,21.3,0.007,,
1.148,142,99.8,21.3,0.0075,,
1.1565,143,101.2,21.3,0.0075,,
1.165,144,102.6,21.3,0.0075,,
1.173,145,104.2,21.3,0.0075,,
1.1815,146,105.8,21.3,0.0075,,
1.189,147,107.2,21.3,0.007,,
1.1975,148,109,21.3,0.0075,,
1.206,149,110.9,21.3,0.0075,,
1.2145,150,112.7,21.3,0.0075,,
1.223,151,114.7,21.3,0.0075,,
1.2315,152,116.8,21.3,0.0075,,
1.239,153,118.7,21.3,0.007,,
1.247,154,120.9,21.3,0.0075,,
1.2555,155,123,21.3,0.0075,,
1.264,156,125.4,21.3,0.0075,,
1.2725,157,128.3,21.3,0.0075,,
1.281,158,131.2,21.3,0.0075,,
1.2885,159,133.9,21.3,0.007,,
1.297,160,137.1,21.3,0.0075,,
1.305,161,140.5,21.3,0.0075,,
1.3135,162,144.1,21.3,0.0075,,
1.322,163,147.8,21.3,0.0075,,
1.3305,164,151.7,21.3,0.0075,,
1.338,165,155.4,21.3,0.007,,
1.3465,166,159.1,21.3,0.0075,,
1.355,167,162.8,21.3,0.0075,,
1.3635,168,166.1,21.3,0.0075,,
1.3715,169,169.4,21.3,0.0075,,
1.38,170,172.6,21.3,0.0075,,
1.3875,171,175,21.3,0.007,,
1.396,172,178,21.3,0.0075,,
1.4045,173,180.4,21.3,0.0075,,
1.413,174,182.7,21.3,0.0075,,
1.4215,175,184.8,21.3,0.0075,,
1.425,176,185.2,21.3,0.006,,
1.425,416,189.3,21.4,0,,
1.4255,417,189.3,21.4,0.0005,,
1.427,418,189.1,21.4,0.002,,
1.4295,419,189.3,21.4,0.0035,,
1.4335,420,189.9,21.4,0.005,,
1.4395,421,190.4,21.4,0.0075,,
1.4475,422,191.5,21.4,0.01,,
1.455,423,192.7,21.4,0.0105,,
1.4635,424,194.3,21.4,0.012,,
1.472,425,195.8,21.4,0.012,,
1.4805,426,196.9,21.4,0.0105,,
1.489,427,198.2,21.4,0.0105,,
1.4975,428,199.6,21.4,0.0105,,
1.505,429,200.6,21.4,0.0105,,
1.513,430,201.8,21.4,0.0115,,
1.5215,431,202.7,21.4,0.0105,,
1.53,432,203.8,21.4,0.0105,,
1.5385,433,204.9,21.4,0.0105,,
1.547,434,205.7,21.4,0.0105,,
1.5545,435,206.7,21.4,0.0105,,
1.563,436,207.4,21.4,0.012,,
1.5715,437,208.4,21.4,0.012,,
1.5795,438,209.4,21.4,0.01,,
1.588,439,210.1,21.4,0.0105,,
1.5965,440,210.7,21.4,0.0105,,
1.604,441,211.5,21.4,0.0105,,
1.6125,442,212.4,21.4,0.012,,
1.621,443,213.2,21.4,0.012,,
1.6295,444,213.8,21.4,0.0105,,
1.6375,445,214.4,21.4,0.01,,
1.646,446,215.3,21.4,0.0105,,
1.6545,447,215.8,21.4,0.012,,
1.662,448,216.5,21.4,0.0105,,
1.6705,449,217,21.4,0.012,,
1.679,450,217.5,21.4,0.0105,,
1.6875,451,218.3,21.4,0.0105,,
1.6955,452,218.8,21.4,0.01,,
1.704,453,219.2,21.4,0.012,,
1.7115,454,219.6,21.4,0.0105,,
1.72,455,220.2,21.4,0.012,,
1.7285,456,220.9,21.4,0.0105,,
1.737,457,221.3,21.4,0.0105,,
1.7455,458,221.7,21.4,0.0105,,
1.754,459,222.4,21.4,0.0105,,
1.7615,460,222.8,21.4,0.0105,,
1.7695,461,223.3,21.4,0.0115,,
1.778,462,223.7,21.4,0.012,,
1.7865,463,224.2,21.4,0.0105,,
1.795,464,224.7,21.4,0.0105,,
1.8035,465,225.1,21.4,0.0105,,
1.811,466,225.6,21.4,0.0105,,
1.8195,467,225.9,21.4,0.012,,
1.828,468,226.3,21.4,0.012,,
1.836,469,226.8,21.4,0.01,,
1.8445,470,227.1,21.4,0.0105,,
1.853,471,227.5,21.4,0.0105,,
1.8605,472,227.9,21.4,0.0105,,
1.869,473,228.3,21.4,0.012,,
1.8775,474,228.9,21.4,0.012,,
1.886,475,229.1,21.4,0.0105,,
1.894,476,229.3,21.4,0.01,,
1.9025,477,229.8,21.4,0.0105,,
1.91,478,230.2,21.4,0.0105,,
1.9185,479,230.6,21.4,0.012,,
1.927,480,230.8,21.4,0.012,,
1.9355,481,231.1,21.4,0.0105,,
1.944,482,231.6,21.4,0.0105,,
1.9525,483,231.9,21.4,0.0105,,
1.96,484,232.4,21.4,0.0105,,
1.968,485,232.5,21.4,0.0115,,
1.9765,486,232.8,21.4,0.012,,
1.985,487,233.3,21.4,0.0105,,
1.9935,488,233.4,21.4,0.0105,,
2.0015,489,233.7,21.4,0.01,,
2.0025,490,234,21.4,0.0015,,
2.0025,491,234.1,21.4,0,,
2.0035,492,234.3,21.4,0.0015,,
2.005,493,234.1,21.4,0.002,,
2.0075,494,234.3,21.4,0.003,,
2.0105,495,234.6,21.4,0.0035,,
2.015,496,234.6,21.4,0.0065,,
2.017,497,234.7,21.4,0.003,,
2.018,498,234.6,21.4,0.0015,,
2.018,499,234.8,21.4,0,,
2.019,500,234.9,21.4,0.001,,
2.02,501,234.8,21.4,0.001,,
2.0205,501,235,21.4,0.001,,
Scope 1/1, Sample 3/32 (S1),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-56.4,20.2,NaN,,
0.001,1,-56.4,20.2,0.001,,
0.0025,2,-56.5,20.2,0.0015,,
0.005,3,-56.5,20.2,0.0025,,
0.0085,4,-56.6,20.2,0.003,,
0.0145,5,-56.3,20.2,0.0055,,
0.023,6,-55.8,20.2,0.0075,,
0.0315,7,-55.3,20.2,0.0075,,
0.04,8,-54.6,20.2,0.0075,,
0.048,9,-53.6,20.2,0.008,,
0.056,10,-52.3,20.2,0.0075,,
0.064,11,-51,20.2,0.0075,,
0.0725,12,-49.8,20.2,0.0075,,
0.081,13,-48.2,20.2,0.0075,,
0.0895,14,-46.4,20.2,0.0075,,
0.098,15,-45,20.2,0.0085,,
0.1055,16,-43.2,20.2,0.007,,
0.114,17,-41.3,20.2,0.0075,,
0.1225,18,-39.2,20.2,0.0075,,
0.1305,19,-37,20.2,0.0075,,
0.139,20,-34.7,20.2,0.0075,,
0.1475,21,-32.5,20.2,0.0085,,
0.155,22,-30.1,20.2,0.007,,
0.1635,23,-27.2,20.2,0.0075,,
0.172,24,-24.4,20.2,0.0075,,
0.1805,25,-21.8,20.2,0.0075,,
0.1885,26,-19,20.2,0.0075,,
0.1965,27,-16.6,20.2,0.0075,,
0.2045,28,-14.1,20.2,0.0075,,
0.213,29,-11.9,20.2,0.0075,,
0.2215,30,-10,20.2,0.0075,,
0.23,31,-7.9,20.2,0.0075,,
0.2385,32,-6,20.2,0.0075,,
0.246,33,-4.3,20.2,0.007,,
0.2545,34,-2.8,20.2,0.0075,,
0.263,35,-1.4,20.2,0.0075,,
0.271,36,0.2,20.2,0.0075,,
0.2795,37,1.4,20.2,0.0075,,
0.288,38,2.7,20.2,0.0075,,
0.2955,39,3.8,20.2,0.007,,
0.304,40,5.1,20.2,0.0075,,
0.3125,41,6.5,20.2,0.0075,,
0.321,42,7.4,20.2,0.0075,,
0.3295,43,8.4,20.2,0.0075,,
0.3375,44,9.7,20.2,0.0075,,
0.3455,45,10.5,20.2,0.0075,,
0.3535,46,11.6,20.2,0.0075,,
0.362,47,12.5,20.2,0.0075,,
0.3705,48,13.4,20.2,0.0075,,
0.379,49,14.4,20.2,0.0075,,
0.3875,50,15.3,20.2,0.0075,,
0.3955,51,16.1,20.2,0.008,,
0.4035,52,17,20.2,0.0075,,
0.4115,53,17.9,20.2,0.0075,,
0.42,54,18.9,20.2,0.0075,,
0.4285,55,19.7,20.2,0.0075,,
0.437,56,20.5,20.2,0.0075,,
0.4455,57,21.5,20.2,0.0085,,
0.453,58,22.4,20.2,0.007,,
0.4615,59,23.5,20.2,0.0075,,
0.4695,60,24.3,20.2,0.0075,,
0.478,61,25,20.2,0.0075,,
0.4865,62,25.9,20.2,0.0075,,
0.495,63,26.9,20.2,0.0075,,
0.5025,64,27.6,20.2,0.007,,
0.511,65,28.4,20.2,0.0075,,
0.5195,66,29,20.2,0.0075,,
0.5275,67,29.9,20.2,0.0075,,
0.536,68,30.8,20.2,0.0075,,
0.5445,69,31.6,20.2,0.0075,,
0.552,70,32.4,20.2,0.007,,
0.5605,71,33.1,20.2,0.0075,,
0.569,72,34,20.2,0.0075,,
0.5775,73,35,20.2,0.0075,,
0.5855,74,35.7,20.2,0.0075,,
0.594,75,36.5,20.2,0.0075,,
0.6025,76,37.2,20.2,0.0085,,
0.61,77,38.2,20.2,0.007,,
0.6185,78,39.2,20.2,0.0075,,
0.627,79,40,20.2,0.0075,,
0.6355,80,40.9,20.2,0.0075,,
0.6435,81,42,20.2,0.0075,,
0.6515,82,42.7,20.2,0.0075,,
0.6595,83,43.5,20.2,0.0075,,
0.668,84,44.3,20.2,0.0075,,
0.6765,85,45.3,20.2,0.0075,,
0.685,86,46.2,20.2,0.0075,,
0.6935,87,46.9,20.2,0.0075,,
0.701,88,47.8,20.2,0.007,,
0.7095,89,48.5,20.2,0.0075,,
0.718,90,49.6,20.2,0.0075,,
0.726,91,50.4,20.2,0.0075,,
0.7345,92,51.2,20.2,0.0075,,
0.743,93,52.2,20.2,0.0075,,
0.7505,94,52.9,20.2,0.007,,
0.759,95,53.9,20.2,0.0075,,
0.7675,96,54.7,20.2,0.0075,,
0.776,97,55.5,20.2,0.0075,,
0.7845,98,56.5,20.2,0.0075,,
0.7925,99,57.4,20.2,0.0075,,
0.8005,100,58.4,20.2,0.0075,,
0.8085,101,59.2,20.2,0.0075,,
0.817,102,60.1,20.2,0.0075,,
0.8255,103,61.1,20.2,0.0075,,
0.834,104,61.9,20.2,0.007,,
0.8425,105,62.7,20.2,0.0075,,
0.85,106,63.6,20.2,0.007,,
0.8585,107,64.5,20.2,0.0075,,
0.867,108,65.6,20.2,0.0075,,
0.875,109,66.5,20.2,0.0075,,
0.8835,110,67.4,20.2,0.0075,,
0.892,111,68.5,20.2,0.0075,,
0.8995,112,69.3,20.2,0.007,,
0.908,113,70.4,20.2,0.0075,,
0.9165,114,71.3,20.2,0.0075,,
0.925,115,72.1,20.2,0.0075,,
0.933,116,73.2,20.2,0.0075,,
0.9415,117,74.3,20.2,0.0075,,
