Task,T4544,,,,,
0.786,98,-1.6,21.9,0.0075,,
0.794,99,-1.1,21.9,0.0075,,
0.802,100,-0.7,21.8,0.0075,,
0.81,101,-0.2,21.8,0.0075,,
0.8185,102,0.2,21.9,0.0075,,
0.827,103,0.1,21.9,0.0075,,
0.8355,104,0.3,21.9,0.0075,,
0.844,105,0.7,21.9,0.0075,,
0.8515,106,1.1,21.9,0.007,,
0.86,107,1.5,21.9,0.0075,,
0.8685,108,2,21.9,0.0075,,
0.8765,109,2.6,21.9,0.0075,,
0.885,110,3.5,21.9,0.0075,,
0.8935,111,3.9,21.9,0.0075,,
0.902,112,4.2,21.9,0.0085,,
0.9095,113,4.6,21.9,0.007,,
0.918,114,5,21.9,0.0075,,
0.9265,115,5.4,21.9,0.0075,,
0.935,116,5.8,21.9,0.0075,,
0.9435,117,6.2,21.9,0.0075,,
0.951,118,6.6,21.9,0.0075,,
0.9595,119,7,21.9,0.0075,,
0.9675,120,7.4,21.9,0.0075,,
0.976,121,7.9,21.9,0.0075,,
0.9845,122,8.3,21.9,0.0075,,
0.993,123,8.9,21.9,0.0075,,
1.0005,124,9.5,21.9,0.0075,,
1.009,125,10.2,21.9,0.0075,,
1.0175,126,10.8,21.9,0.0075,,
1.026,127,11.5,21.9,0.0075,,
1.0345,128,12.1,21.9,0.0075,,
1.0425,129,12.7,21.9,0.0075,,
1.051,130,13.2,21.9,0.0075,,
1.0585,131,13.7,21.9,0.007,,
1.067,132,14.3,21.9,0.0075,,
1.0755,133,14.9,21.9,0.0075,,
1.084,134,15.5,21.9,0.0075,,
1.0925,135,16.2,21.9,0.0075,,
1.101,136,16.9,21.9,0.0075,,
1.1085,137,17.4,21.9,0.007,,
1.117,138,18.1,21.9,0.0075,,
1.1255,139,18.7,21.9,0.0075,,
1.1335,140,19.4,21.9,0.0075,,
1.142,141,20.1,21.9,0.0075,,
1.1505,142,20.8,21.9,0.0085,,
1.158,143,21.5,21.9,0.007,,
1.1665,144,22.3,21.9,0.0075,,
1.175,145,23.1,21.9,0.0075,,
1.1835,146,23.9,21.9,0.0075,,
1.192,147,24.8,21.9,0.0075,,
1.2005,148,25.7,21.9,0.0075,,
1.208,149,26.6,21.9,0.007,,
1.2165,150,27.6,21.9,0.0075,,
1.2245,151,28.6,21.9,0.0075,,
1.233,152,29.6,21.9,0.0075,,
1.2415,153,30.8,21.9,0.0075,,
1.25,154,32,21.9,0.0075,,
1.2575,155,33.3,21.9,0.007,,
1.266,156,34.7,21.9,0.0075,,
1.2745,157,36.2,21.9,0.0075,,
1.283,158,37.7,21.9,0.0075,,
1.2915,159,39.5,21.9,0.0075,,
1.2995,160,41.6,21.9,0.0075,,
1.3075,161,43.5,21.9,0.0075,,
1.3155,162,46.2,21.9,0.0075,,
1.324,163,49,21.9,0.0075,,
1.3325,164,52.1,21.9,0.0075,,
1.341,165,55.2,21.9,0.0075,,
1.3495,166,59.2,21.9,0.0075,,
1.357,167,63.1,21.9,0.007,,
1.3655,168,67.6,21.9,0.0075,,
1.374,169,72.5,21.9,0.0075,,
1.3825,170,77.9,21.9,0.0075,,
1.3905,171,83.8,21.9,0.0075,,
1.399,172,90,21.9,0.0075,,
1.4065,173,95.9,21.9,0.0075,,
1.415,174,102.9,21.9,0.0075,,
1.4235,175,110.3,21.9,0.0075,,
1.432,176,117.7,21.9,0.0075,,
1.4405,177,125.3,21.9,0.0075,,
1.449,178,133,21.9,0.0075,,
1.457,179,139.8,21.9,0.008,,
1.465,180,146.9,21.9,0.0075,,
1.473,181,153.4,21.9,0.0075,,
1.4815,182,159.8,21.9,0.0075,,
1.49,183,165.4,21.9,0.0075,,
1.4985,184,170.5,21.9,0.0075,,
1.507,185,175.1,21.9,0.0075,,
1.5145,186,178.7,21.9,0.007,,
1.523,187,182.2,21.9,0.0075,,
1.5325,188,185.1,21.9,0.0075,,
1.5325,428,197,21.9,0,,
1.533,429,197,21.9,0.0005,,
1.5345,430,197,21.9,0.001,,
1.537,431,197,21.9,0.002,,
1.541,432,197,21.9,0.0025,,
1.547,434,197,21.9,0.004,,
1.5555,434,197.2,21.9,0.017,,
1.563,435,197.6,21.9,0.0055,,
1.5715,436,198.2,21.9,0.006,,
1.58,437,198.9,21.9,0.006,,
1.5885,438,199.5,21.9,0.0055,,
1.5965,440,200.2,21.9,0.0055,,
1.605,440,201,21.9,0.017,,
1.6135,442,201.7,21.9,0.0055,,
1.621,442,202.3,21.9,0.0185,,
1.6295,443,203.1,21.9,0.006,,
1.638,444,203.7,21.9,0.0055,,
1.6465,446,204.5,21.9,0.0055,,
1.655,446,205.2,21.9,0.017,,
1.663,448,205.8,21.9,0.0055,,
1.671,448,206.4,21.9,0.02,,
1.679,449,206.8,21.9,0.0055,,
1.6875,450,207.5,21.9,0.006,,
1.696,452,208.1,21.9,0.0055,,
1.7045,452,208.6,21.9,0.017,,
1.713,454,209.1,21.9,0.0055,,
1.7205,454,209.6,21.9,0.0185,,
1.729,455,210.1,21.9,0.006,,
1.7375,456,210.6,21.9,0.006,,
1.7455,458,211.1,21.9,0.0055,,
1.754,458,211.6,21.9,0.017,,
1.7625,460,212.1,21.9,0.0055,,
1.771,460,212.4,21.9,0.021,,
1.7785,461,213.1,21.9,0.0055,,
1.787,462,213.5,21.9,0.006,,
1.7955,464,213.9,21.9,0.0055,,
1.804,464,214.4,21.9,0.017,,
1.8125,466,214.9,21.9,0.0055,,
1.8205,466,215.3,21.9,0.02,,
1.8285,467,215.8,21.9,0.0055,,
1.837,468,216.2,21.9,0.0055,,
1.845,470,216.7,21.9,0.0055,,
1.8535,470,217,21.9,0.017,,
1.862,472,217.3,21.9,0.0055,,
1.8695,472,217.7,21.9,0.0185,,
1.878,473,218.2,21.9,0.006,,
1.8865,474,218.6,21.9,0.006,,
1.895,476,218.9,21.9,0.0055,,
1.9035,476,219.1,21.9,0.017,,
1.912,478,219.5,21.9,0.0055,,
1.9195,478,219.9,21.9,0.0185,,
1.928,479,220.3,21.9,0.006,,
1.9365,480,220.5,21.9,0.006,,
1.9445,482,220.9,21.9,0.0055,,
1.953,482,221.3,21.9,0.017,,
1.9615,484,221.7,21.9,0.0055,,
1.969,484,222,21.9,0.0185,,
1.9775,485,222.3,21.9,0.006,,
1.986,486,222.6,21.9,0.006,,
1.9945,488,222.9,21.9,0.0055,,
2.003,488,223.1,21.9,0.017,,
2.0115,490,223.5,21.9,0.0055,,
2.019,490,223.7,21.9,0.0185,,
2.0275,491,224.1,21.9,0.006,,
2.0355,492,224.4,21.9,0.0055,,
2.044,494,224.8,21.9,0.0055,,
2.0525,494,225,21.9,0.017,,
2.061,496,225.2,21.9,0.0055,,
2.0695,496,225.6,21.9,0.021,,
2.077,497,225.9,21.9,0.0055,,
2.0855,498,226.1,21.9,0.006,,
2.094,500,226.4,21.9,0.0055,,
2.102,500,226.7,21.9,0.016,,
2.1105,502,227,21.9,0.0055,,
2.119,502,227.2,21.9,0.021,,
2.1265,503,227.5,21.9,0.0055,,
2.135,504,227.7,21.9,0.0055,,
2.1435,506,227.9,21.9,0.0055,,
2.152,506,228.1,21.9,0.017,,
2.1605,508,228.4,21.9,0.0055,,
2.169,508,228.7,21.9,0.021,,
2.1765,509,229,21.9,0.0055,,
2.185,510,229.3,21.9,0.006,,
2.193,512,229.5,21.9,0.0055,,
2.2015,512,229.7,21.9,0.017,,
2.21,514,230.1,21.9,0.0055,,
2.2185,514,230.2,21.9,0.017,,
2.226,515,230.5,21.9,0.0055,,
2.2345,516,230.7,21.9,0.006,,
2.243,517,230.9,21.9,0.006,,
2.2515,518,231.2,21.9,0.0055,,
2.26,520,231.4,21.9,0.0055,,
2.268,520,231.5,21.9,0.016,,
2.276,521,231.8,21.9,0.0055,,
2.284,522,232,21.9,0.0055,,
2.2925,523,232.1,21.9,0.006,,
2.301,524,232.4,21.9,0.0055,,
2.3095,526,232.6,21.9,0.0055,,
2.318,526,232.9,21.9,0.017,,
2.3255,527,233.1,21.9,0.0055,,
2.334,528,233.3,21.9,0.006,,
2.3425,529,233.5,21.9,0.006,,
2.3505,530,233.7,21.9,0.0055,,
2.359,532,233.9,21.9,0.0055,,
2.3675,532,234.1,21.9,0.017,,
2.3745,533,234.3,21.9,0.005,,
2.38,534,234.4,21.9,0.004,,
2.3835,535,234.6,21.9,0.0025,,
2.3845,536,234.7,21.9,0.0005,,
2.385,538,234.8,21.9,0.0005,,
2.386,538,234.8,21.9,0.002,,
2.387,539,235,21.9,0.001,,
